,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Jason Mraz,I Won't Give Up,53QF56cjZA9RTuuMZDrSA6,68,2012,acoustic,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,133.406,240166,3
1,Jason Mraz,93 Million Miles,1s8tP3jP4GZcyHDsjvw218,50,2012,acoustic,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,216387,4
2,Joshua Hyslop,Do Not Let Me Go,7BRCa8MPiyuvr2VU3O9W0F,57,2012,acoustic,0.409,0.234,3,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,139.832,158960,4
3,Boyce Avenue,Fast Car,63wsZUhUZLlh1OsyrZq7sz,58,2012,acoustic,0.392,0.251,10,-9.845,1,0.0363,0.807,0.0,0.0797,0.508,204.961,304293,4
4,Andrew Belle,Sky's Still Blue,6nXIYClvJAfi6ujLiKqEq8,54,2012,acoustic,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,244320,4
5,Chris Smither,What They Say,24NvptbNKGs6sPy1Vh1O0v,48,2012,acoustic,0.566,0.57,2,-6.42,1,0.0329,0.688,1.73e-06,0.0943,0.96,83.403,166240,4
6,Matt Wertz,Walking in a Winter Wonderland,0BP7hSvLAG3URGrEvNNbGM,48,2012,acoustic,0.575,0.606,9,-8.197,1,0.03,0.0119,0.0,0.0675,0.364,121.083,152307,4
7,Green River Ordinance,Dancing Shoes,3Y6BuzQCg9p4yH347Nn8OW,45,2012,acoustic,0.586,0.423,7,-7.459,1,0.0261,0.252,5.83e-06,0.0976,0.318,138.133,232373,4
8,Jason Mraz,Living in the Moment,3ce7k1L4EkZppZPz1EJWTS,44,2012,acoustic,0.65,0.628,7,-7.16,1,0.0232,0.0483,0.0,0.119,0.7,84.141,235080,4
9,Boyce Avenue,Heaven,2EKxmYmUdAVXlaHCnnW13o,58,2012,acoustic,0.619,0.28,8,-10.238,0,0.0317,0.73,0.0,0.103,0.292,129.948,250063,4
10,Tristan Prettyman,Say Anything,1RjEDlhTp2iJXWPdLpa8OM,45,2012,acoustic,0.657,0.43,1,-10.202,1,0.0314,0.534,0.000238,0.12,0.335,91.967,236379,4
11,David Gray,Money (That's What I Want) - From Jim Beam's Live Music Series,38sSJ12azM6Mic7ajbHKBi,45,2012,acoustic,0.655,0.692,5,-6.217,1,0.0326,0.568,2.34e-05,0.119,0.547,121.455,234270,4
12,Boyce Avenue,Someone Like You,6VtoP2sJt5oCmPOQIve2sf,55,2012,acoustic,0.439,0.207,1,-9.573,1,0.0297,0.608,0.0,0.186,0.264,136.514,276147,4
13,Jason Mraz,The Woman I Love,0AYG9AcwqEeqgAw3OvshPC,40,2012,acoustic,0.591,0.647,4,-8.34,1,0.0277,0.067,6.57e-05,0.231,0.678,79.68,190752,4
14,Eddie Vedder,I Shall Be Released,0J1iFISejodqBIy0Q9AS0N,44,2012,acoustic,0.45,0.713,6,-7.503,0,0.0386,0.157,0.0,0.992,0.36,74.71,283587,4
15,The Civil Wars,Kingdom Come,1IZc5f9ulw7Ge2eOpQH7w6,41,2012,acoustic,0.497,0.277,4,-11.382,0,0.0373,0.846,4.77e-06,0.111,0.179,81.367,222560,4
16,Gabrielle Aplin,Home,20kpTTSvI4ok6Gm1uZqtcz,57,2012,acoustic,0.439,0.265,2,-10.72,1,0.0343,0.736,0.0,0.093,0.382,140.494,247002,4
17,Harley Poe,Transvestities Can Be Cannibals Too,46KacVTVWMkyXS0jf7TwOX,39,2012,acoustic,0.499,0.614,7,-8.175,1,0.0621,0.151,3.52e-06,0.0555,0.605,89.038,276973,4
18,Ron Pope,One Grain of Sand,3yqJGfvXtPZLiWHVeLWtm8,49,2012,acoustic,0.713,0.824,3,-7.168,1,0.0393,0.106,8.03e-05,0.13,0.696,120.028,207240,4
19,Sara Bareilles,Once Upon Another Time,7KG9zriC6iP8F1CNihtR8Y,39,2012,acoustic,0.275,0.216,2,-14.504,1,0.0493,0.896,0.0,0.231,0.0551,95.421,324333,5
20,Harley Poe,The Hearse Song,09ibWmdrePCN2E2Gbm4Aen,39,2012,acoustic,0.512,0.375,11,-9.525,0,0.0652,0.527,0.0,0.109,0.445,183.452,166467,3
21,Jason Mraz,Winter Wonderland,0zXjeGMMe7esPTvqJCN5d8,36,2012,acoustic,0.609,0.359,5,-6.715,1,0.0468,0.777,0.0,0.221,0.645,145.178,127080,4
22,Meiko,Stuck On You,4vfioWSgbZSVwsYtPS1a6s,35,2012,acoustic,0.638,0.538,2,-6.667,1,0.034,0.516,0.0,0.0797,0.843,98.591,186640,4
23,Harley Poe,Ouija,3SUY9IKXcU5VN95FOujS6S,37,2012,acoustic,0.479,0.519,9,-8.022,0,0.0459,0.263,1.84e-06,0.112,0.357,146.819,220160,4
24,Boyce Avenue,Just the Way You Are,2FSkBDGsqZIxcsnKNgtMLx,53,2012,acoustic,0.531,0.296,1,-7.594,1,0.0304,0.84,0.0,0.124,0.212,106.359,239573,4
25,Eric Hutchinson,Watching You Watch Him,7j6t0kr66wFLkBjjKxh5FJ,36,2012,acoustic,0.588,0.71,8,-5.974,1,0.0382,0.043,5.28e-06,0.114,0.63,91.036,211027,4
26,Jason Mraz,Be Honest (feat. Inara George),5T0N6xybJyZq34R1807OTt,36,2012,acoustic,0.757,0.308,11,-13.66,0,0.0449,0.851,0.0,0.097,0.47,107.948,205000,4
27,Sara Bareilles,Stay,24xqELXbmKDFLKkR3271jb,37,2012,acoustic,0.262,0.341,2,-8.496,1,0.031,0.589,0.00154,0.14,0.181,99.913,262613,3
28,Harley Poe,Ima Killer,0ijjTpuUC6DGrST4a4l6Gk,36,2012,acoustic,0.461,0.879,4,-7.341,0,0.0946,0.171,5.16e-05,0.414,0.656,172.178,233373,4
29,Ross Copperman,Holding On and Letting Go,0v0pc1lIt5p6EBX7pnfOGF,44,2012,acoustic,0.486,0.555,2,-9.466,1,0.0271,0.818,0.00269,0.109,0.0992,77.987,317441,4
30,Harley Poe,Everybody Knows My Name,1fHBkl9GcUZq0I5kFfrR2r,35,2012,acoustic,0.49,0.662,2,-7.63,0,0.0555,0.108,1.45e-05,0.167,0.662,124.229,186640,4
31,Harley Poe,Still Here,2uUZodl12OHB8K6uZ0jLr3,34,2012,acoustic,0.526,0.527,2,-8.403,1,0.0674,0.434,3.5e-06,0.262,0.666,88.263,82680,4
32,Johnnyswim,Annie,6SU4bifjXJwueCHG8maEXz,34,2012,acoustic,0.594,0.251,4,-9.036,1,0.0295,0.63,2.8e-06,0.112,0.0502,98.819,270841,4
33,Eric Hutchinson,Breakdown More,2sqNYse3PoPzzOA2j2jTlZ,33,2012,acoustic,0.598,0.703,0,-7.313,1,0.03,0.104,0.000118,0.141,0.604,77.998,245880,4
34,Boyce Avenue,Teenage Dream,65MVsQOcfdeFbFRUYdfFq5,44,2012,acoustic,0.654,0.319,2,-8.43,1,0.0322,0.844,0.0,0.0854,0.484,115.578,242107,4
35,AJJ,Black Dog,279Iabhr2afcc93hAc1YZ8,33,2012,acoustic,0.53,0.249,2,-18.414,1,0.131,0.688,0.0,0.188,0.22,87.265,82027,4
36,Boyce Avenue,Fix You,2OcZ7956nCJ1OJ6oyNDLtf,48,2012,acoustic,0.421,0.441,3,-8.012,1,0.0271,0.413,8.35e-06,0.118,0.0992,138.07,294737,4
37,Sara Bareilles,Bright Lights and Cityscapes,7CEWZ0h4rez5BqMQwx4QXf,33,2012,acoustic,0.343,0.184,5,-12.633,1,0.0369,0.977,0.00049,0.0923,0.213,66.509,356093,4
38,Jason Mraz,Everything Is Sound,61uAuQITuz62vOnGXQslaA,33,2012,acoustic,0.508,0.563,9,-8.238,1,0.0605,0.511,0.0,0.143,0.432,167.42,285547,4
39,Boyce Avenue,Faithfully,3eGK4zpPPPoHrcUNkb8dUF,36,2012,acoustic,0.509,0.34,6,-8.972,1,0.0335,0.755,1.52e-05,0.101,0.131,130.257,265200,4
40,Meiko,Leave The Lights On,7esHVZvcWKChIIxGO8mB98,31,2012,acoustic,0.646,0.818,1,-6.469,0,0.0314,0.0348,0.00012,0.0919,0.713,121.931,248373,4
41,Not Half Bad,We're Going To Hell,47tWBYs1sGtVQdSFhYgF1X,32,2012,acoustic,0.775,0.523,0,-7.462,1,0.0381,0.571,0.0,0.352,0.487,81.037,142240,4
42,Boyce Avenue,What Makes You Beautiful,1jseyXx3Q0Vfjr5Z6jiUnU,42,2012,acoustic,0.458,0.275,5,-8.241,1,0.0365,0.827,0.0,0.174,0.2,114.158,208893,4
43,A Fine Frenzy,Now Is The Start,3gEyA6UtRSk1058sev61D6,30,2012,acoustic,0.559,0.781,1,-6.805,1,0.0332,0.00124,0.0353,0.101,0.227,114.962,286429,4
44,Jason Mraz,The World as I See It,2ORU4XRGqFjPB2mTft0VPj,32,2012,acoustic,0.573,0.747,10,-7.011,1,0.0316,0.164,0.0,0.144,0.464,119.012,239156,4
45,Get Dead,Fuck You,5DUAKXpyv3nL50PnAQbPS0,32,2012,acoustic,0.608,0.917,11,-5.341,1,0.0601,0.236,0.0,0.13,0.936,117.875,169267,4
46,Harley Poe,Taxidermy Girl,7pmbRTdvcjnCKJF7WyHzmE,31,2012,acoustic,0.336,0.362,7,-10.046,1,0.0336,0.434,0.000143,0.122,0.455,175.228,278707,3
47,Sara Bareilles,Sweet As Whole,04BcODyhCDTV7SBFeJHOXe,32,2012,acoustic,0.431,0.352,8,-9.335,1,0.0275,0.742,0.0,0.148,0.246,94.915,277547,3
48,Chad Hates George,"Shooting Up, Breaking Down (feat. Jesse Sendejas)",1gIXgeL8KPbRCnWvPfZyUJ,30,2012,acoustic,0.488,0.813,0,-7.12,1,0.286,0.699,0.0,0.273,0.583,162.285,208666,4
49,Taj Mahal,Shady Grove,6MVmw9Ea73B1XQjbAu6uuw,33,2012,acoustic,0.581,0.55,1,-11.719,1,0.0394,0.878,0.742,0.112,0.66,126.128,565787,4
50,David Ramirez,Find the Light,7jhcBzFm4W2UpFPa9fZFlR,31,2012,acoustic,0.617,0.131,11,-12.775,1,0.0331,0.903,0.000536,0.105,0.394,129.31,197253,4
51,Ichiko Aoba,kanashii yume o mitara,52RSwU0HHP9ugX2K7j8iar,34,2012,acoustic,0.474,0.0374,5,-20.324,1,0.0479,0.993,0.021,0.102,0.224,135.099,179787,5
52,Ichiko Aoba,hikari no furusato,7c59LJZv6klezUN3jRCXE6,35,2012,acoustic,0.404,0.0427,3,-19.076,1,0.0397,0.99,0.224,0.0852,0.181,74.137,192147,4
53,Amos Lee,Simple Things,0GK6pzHhJNuxRPOULLPFo6,33,2012,acoustic,0.498,0.17,10,-11.818,1,0.0341,0.889,0.000561,0.0998,0.165,131.976,201360,4
54,Jason Mraz,The Freedom Song,7hevpquSrhFLsEUzbDFrWB,33,2012,acoustic,0.661,0.693,6,-7.562,0,0.0578,0.0872,0.0,0.086,0.848,94.045,239987,4
55,Steve Petrunak,Walking in a Winter Wonderland,3mng76g6guqrd0Lb9gJ0LX,32,2012,acoustic,0.518,0.269,7,-11.957,1,0.0498,0.93,0.857,0.115,0.356,116.262,134120,4
56,Kris Allen,Better with You,77xgXc56h19AhTLKrWcijW,42,2012,acoustic,0.732,0.712,0,-5.672,1,0.0252,0.17,0.0,0.0809,0.772,101.005,194147,4
57,Steve Petrunak,Silver Bells,7HKRdvf1PWH1Ml7xJzV2NV,31,2012,acoustic,0.341,0.171,1,-15.618,1,0.0485,0.905,0.909,0.126,0.42,89.618,160040,3
58,Boyce Avenue,Glad You Came,4LlCL8KQCa5CNStnDg4eSA,40,2012,acoustic,0.722,0.542,6,-8.703,0,0.0371,0.135,0.0,0.168,0.444,125.998,195933,4
59,Boyce Avenue,Superman,6AyGrpqr2TeGCTXj1nuzbv,41,2012,acoustic,0.587,0.209,9,-10.426,1,0.0304,0.759,0.0,0.113,0.247,105.669,194093,4
60,Eric Hutchinson,The Basement,5lGimjX5CT7gL0kwB1AqQF,31,2012,acoustic,0.544,0.921,7,-3.93,1,0.0505,0.00348,0.0,0.215,0.65,165.949,214880,4
61,Tristan Prettyman,My Oh My,4AzRVhbDkK6pqW03h5u34I,28,2012,acoustic,0.69,0.803,0,-6.827,0,0.0242,0.00873,0.354,0.136,0.712,96.042,218587,4
62,Ann Sally,Mother's Song,3pkVDKAPIhrpsAR79fa05P,30,2012,acoustic,0.27,0.0758,0,-14.469,1,0.0384,0.961,3.55e-05,0.136,0.354,76.388,310640,4
63,Sara Bareilles,Beautiful Girl,35THgVT9h3X5UTqthKkr4d,29,2012,acoustic,0.708,0.125,7,-12.539,0,0.105,0.961,0.0,0.106,0.383,124.948,242907,4
64,Harley Poe,I Am The Living Dead,4k5Gc1tzDHNnkMQmB3ArkC,29,2012,acoustic,0.554,0.765,2,-8.252,0,0.0363,0.21,0.000114,0.104,0.767,92.43,205493,4
65,The Civil Wars,I Heard The Bells On Christmas Day,1qSBHo7rjtqYdd0XJB8ngq,28,2012,acoustic,0.492,0.145,2,-14.504,0,0.0421,0.872,9.7e-06,0.106,0.218,90.078,154440,4
66,Boyce Avenue,Here Without You,3Fwdij9seLaCGs4yOCQcJM,43,2012,acoustic,0.665,0.559,9,-6.78,0,0.0286,0.684,0.0,0.0843,0.476,143.822,220000,4
67,Tristan Prettyman,I Was Gonna Marry You,2ikbRpHU3pH3Y0va9we9s6,28,2012,acoustic,0.448,0.455,1,-10.041,1,0.0379,0.318,0.0141,0.0969,0.495,82.726,191720,4
68,Ingrid Michaelson,Ghost,6UGhHbDZ76PqGR2C9pdWbb,29,2012,acoustic,0.519,0.484,2,-5.808,1,0.0249,0.357,0.0,0.145,0.291,88.03,241640,4
69,Jason Mraz,You Fckn' Did It - Live,0k78hapVRILyPAdOenCevc,30,2012,acoustic,0.558,0.646,11,-9.822,0,0.071,0.632,0.0,0.972,0.7,124.911,305330,4
70,Andrew Belle,The Daylight,3fy4r3gnyaNejuc7jZwAxG,32,2012,acoustic,0.721,0.571,1,-5.857,1,0.0282,0.0478,0.17,0.0808,0.574,119.993,282742,4
71,Ichiko Aoba,IMPERIAL SMOKE TOWN,0awBHWlzmycfbukAxGecCK,31,2012,acoustic,0.511,0.153,10,-18.468,0,0.0651,0.989,0.244,0.0918,0.0568,113.496,437733,3
72,Steve Petrunak,O Come All Ye Faithful,2VPVtEqfCbxwrgQRdNPKp1,29,2012,acoustic,0.469,0.241,8,-11.934,1,0.0443,0.846,0.976,0.113,0.598,111.097,142253,4
73,Boyce Avenue,Somebody That I Used to Know,0UrGdW00AYx3eqNmzLHIEf,40,2012,acoustic,0.729,0.408,11,-10.078,0,0.0323,0.345,0.0,0.0957,0.263,120.02,238200,4
74,Steve Petrunak,Angels We Have Heard on High,4zUrEicnZk7cXYcntIX12b,28,2012,acoustic,0.487,0.17,2,-14.93,1,0.047,0.87,0.58,0.15,0.225,97.965,203853,4
75,Ingrid Michaelson,How We Love,4FFnf39apAJSeKp1qXNovT,27,2012,acoustic,0.666,0.114,4,-13.755,1,0.0565,0.913,3.25e-06,0.111,0.293,119.791,213640,4
76,Eric Hutchinson,Not There Yet,3492c69DsiY9PZsjspF2cb,27,2012,acoustic,0.72,0.839,9,-4.138,1,0.0326,0.0772,0.0,0.672,0.968,122.007,205187,4
77,Steve Petrunak,The Old Guitar,2NXoEhxRepl0NKHYDw9s5N,31,2012,acoustic,0.542,0.342,1,-8.939,1,0.0481,0.851,0.948,0.17,0.17,120.4,165373,4
78,Jon Bryant,Evening Sun,23FJw5F8nipFrzkZviz5vQ,29,2012,acoustic,0.45,0.254,11,-13.203,1,0.0299,0.756,0.0177,0.104,0.195,77.396,214703,4
79,Boyce Avenue,The One That Got Away,1Llvr4v5Y0rZtm494ak7oh,42,2012,acoustic,0.655,0.502,8,-7.962,1,0.0349,0.579,0.0,0.117,0.368,123.931,247705,4
80,Steve Petrunak,Have Yourself a Merry Little Christmas,2aIibN0HnNczY7sQQi4JIg,28,2012,acoustic,0.461,0.135,7,-14.374,1,0.0645,0.947,0.881,0.11,0.197,137.922,159280,4
81,Otis Spann,Someday (Electric),5ZUxxja3WzBZUFF6P9M9HN,34,2012,acoustic,0.581,0.333,0,-14.209,1,0.032,0.944,0.472,0.332,0.488,94.197,206800,3
82,Harley Poe,Vampire's Night Out,7jN7uoP2ov1VVo9XguFEio,27,2012,acoustic,0.365,0.522,9,-7.854,1,0.0702,0.174,0.0,0.182,0.492,166.242,252213,4
83,Harley Poe,That Time Of The Month,7dWYhwVvcWIKsXaPBLdDHg,27,2012,acoustic,0.567,0.609,2,-7.941,1,0.0767,0.173,2.13e-06,0.15,0.522,92.506,257147,4
84,Boyce Avenue,I Want It That Way,16COzZ7jCVn3O8b8ZgviOx,39,2012,acoustic,0.361,0.273,2,-9.805,1,0.0314,0.798,0.0,0.0962,0.306,199.366,215161,4
85,Ron Pope,In My Bones,6UkuYlZarpxN8rSG10ewSk,33,2012,acoustic,0.492,0.639,10,-6.067,1,0.0382,0.591,5.53e-06,0.0794,0.304,151.915,208267,4
86,Joshua Radin,Tomorrow Is Gonna Be Better,24UET6X7UiKFuv0DCutYis,24,2012,acoustic,0.498,0.217,6,-12.042,1,0.0305,0.536,0.00013,0.126,0.605,111.735,169547,4
87,AJJ,Hate Song for Brains,6WWw88Mk3GFQbtspaY6ddH,26,2012,acoustic,0.533,0.523,2,-5.645,1,0.0284,0.324,8.41e-05,0.116,0.492,145.113,143613,4
88,Boyce Avenue,Will You Be There,3D2A4RVGIEzqzhXGgzocuU,35,2012,acoustic,0.431,0.383,0,-8.092,1,0.0283,0.709,0.0,0.109,0.232,82.471,207629,4
89,Boyce Avenue,A Thousand Miles,4vNGuGIIzh6soeBTw8hjfq,41,2012,acoustic,0.564,0.731,9,-7.538,1,0.0295,0.517,3.48e-06,0.105,0.257,95.036,244174,4
90,Boyce Avenue,With or Without You,6sT9s9sILm7LkgVzyjwcEP,38,2012,acoustic,0.483,0.285,5,-8.994,1,0.0271,0.791,0.0,0.13,0.116,105.42,243187,4
91,Boyce Avenue,Breakeven (Falling to Pieces),5A0Bjgk5tQM3hRWxPpafmd,35,2012,acoustic,0.604,0.324,7,-9.706,1,0.0306,0.598,0.0,0.136,0.407,92.636,255242,4
92,Jaymay,Niagara Falls,4lomrPZgyfrilub7E92rdj,28,2012,acoustic,0.485,0.208,6,-10.049,1,0.0295,0.809,0.000147,0.138,0.136,92.942,119493,4
93,Boyce Avenue,Wherever You Will Go,6qrmX6Kzw4Yhrftev3RENE,39,2012,acoustic,0.669,0.31,2,-7.844,1,0.0273,0.619,0.0,0.108,0.199,112.075,204888,4
94,Boyce Avenue,Payphone,1jfvBRXzBY2eCzF75i67qw,41,2012,acoustic,0.65,0.655,7,-5.358,1,0.0309,0.213,0.0,0.134,0.546,109.931,218124,4
95,Jason Mraz,I Won't Give Up - Demo,6RLkxQmjmbB6ItZBOwSK73,28,2012,acoustic,0.467,0.234,4,-10.538,1,0.0362,0.821,2.15e-06,0.105,0.126,142.718,315983,3
96,Johnnyswim,Adelina,1KUgTKdoh0DKIbIIedAscB,24,2012,acoustic,0.528,0.443,5,-6.884,1,0.0267,0.738,0.0,0.182,0.302,82.924,218195,4
97,Drew Holcomb & The Neighbors,"Don't Think Twice, It's Alright",6wGoWEBRj1cQTafm7sg4ZM,28,2012,acoustic,0.535,0.587,4,-8.174,1,0.0308,0.396,0.00119,0.121,0.6,78.162,279221,4
98,Mark Lanegan,St Louis Elegy,1r3aX7XuYrtPcJ1tqpmA01,35,2012,acoustic,0.46,0.405,9,-9.627,1,0.0257,0.387,0.0346,0.119,0.161,155.528,273840,4
99,Boyce Avenue,We Found Love,1mzqQq3PJyTEbI1yN4uGmD,39,2012,acoustic,0.65,0.561,11,-8.6,1,0.0282,0.579,3.22e-06,0.0909,0.331,127.926,217376,4
100,Jason Mraz,5/6,4Cd1nnR2RKdbFN2eTaxAFR,26,2012,acoustic,0.468,0.614,5,-8.272,1,0.0404,0.161,1.9e-06,0.337,0.71,155.574,357213,3